0,1,2
Astrid_Eyzaguirre_0001.png,Nicole_Kidman_0006_m.png,0
Saeb_Erekat_0002.png,Vladimir_Voltchkov_0002_m.png,0
Emile_Lahoud_0001.png,John_Negroponte_0028_m.png,0
Jean_Charest_0013.png,Sylvester_Stallone_0002_m.png,0
George_W_Bush_0068.png,John_Manley_0002_m.png,0
Winona_Ryder_0006.png,Tim_Lopes_0001_m.png,0
Christiane_Wulff_0001.png,Santiago_Botero_0001_m.png,0
Jonathan_Edwards_0005.png,Eli_Rosenbaum_0001_m.png,0
Maria_Shriver_0005.png,Edmund_Stoiber_0001_m.png,0
Lino_Oviedo_0003.png,John_Paul_II_0002_m.png,0
Riccardo_Muti_0001.png,Michelle_Bachelet_0001_m.png,0
Joan_Laporta_0003.png,Arnold_Schwarzenegger_0038_m.png,0
Dan_Morales_0001.png,Natasha_Henstridge_0001_m.png,0
Mitchell_Daniels_0004.png,Marie-Reine_Le_Gougne_0002_m.png,0
Bertrand_Bonello_0001.png,Ariel_Sharon_0041_m.png,0
Michael_Douglas_0006.png,Sean_Hayes_0001_m.png,0
Victor_Kraatz_0001.png,Lisa_Raymond_0002_m.png,0
Wang_Nan_0001.png,Romain_Duris_0001_m.png,0
Binyamin_Ben-Eliezer_0004.png,Ariel_Sharon_0041_m.png,0
Roseanne_Barr_0002.png,Kathleen_Glynn_0002_m.png,0
Ricky_Barnes_0001.png,Sandra_Bullock_0001_m.png,0
Ariel_Sharon_0062.png,Tony_Blair_0131_m.png,0
Antony_Leung_0002.png,Edward_Lu_0006_m.png,0
Jennifer_Aniston_0003.png,Dick_Vermeil_0002_m.png,0
Jimmy_Szymanski_0001.png,Susan_Sarandon_0003_m.png,0
Ray_Romano_0004.png,Bob_Colvin_0001_m.png,0
Lars_Von_Trier_0003.png,Maria_Sanchez_Lorenzo_0001_m.png,0
Mladen_Naletilic_0001.png,Abdullah_0004_m.png,0
Guy_Ritchie_0002.png,Jean_Charest_0017_m.png,0
Ronald_Ito_0001.png,Paul_McNulty_0002_m.png,0
Colin_Powell_0151.png,Fernando_Vargas_0001_m.png,0
Ivan_Lee_0001.png,Dorothy_Wilson_0001_m.png,0
Nancy_Powell_0001.png,Danis_Tanovic_0001_m.png,0
Julio_Cesar_Chavez_0001.png,Hipolito_Mejia_0004_m.png,0
Lisa_Raymond_0001.png,Roman_Polanski_0003_m.png,0
Jean_Nagel_0001.png,Frank_Cassell_0001_m.png,0
Colin_Jackson_0001.png,Tom_Gamboa_0001_m.png,0
Roman_Abramovich_0001.png,Lou_Piniella_0001_m.png,0
Vicente_Fox_0026.png,Lance_Bass_0002_m.png,0
William_Donaldson_0003.png,Abel_Pacheco_0004_m.png,0
Ricardo_Lagos_0019.png,Junichiro_Koizumi_0022_m.png,0
Tom_Watson_0002.png,Carlos_Moya_0012_m.png,0
Michael_J_Fox_0001.png,Kurt_Budke_0001_m.png,0
Mikhail_Wehbe_0001.png,Federico_Fellini_0001_m.png,0
Mark_Wahlberg_0004.png,Dick_Cheney_0011_m.png,0
Vladimir_Voltchkov_0001.png,Hedayat_Amin_Arsala_0001_m.png,0
