0,1,2
Mahmoud_Abbas_0005.png,Mahmoud_Abbas_0005_m.png,1
Ali_Naimi_0005.png,Ali_Naimi_0005_m.png,1
George_W_Bush_0170.png,George_W_Bush_0170_m.png,1
Angelina_Jolie_0002.png,Angelina_Jolie_0002_m.png,1
John_Ashcroft_0001.png,John_Ashcroft_0001_m.png,1
Laura_Elena_Harring_0001.png,Laura_Elena_Harring_0001_m.png,1
Jacques_Chirac_0043.png,Jacques_Chirac_0043_m.png,1
Gerhard_Schroeder_0092.png,Gerhard_Schroeder_0092_m.png,1
Geno_Auriemma_0001.png,Geno_Auriemma_0001_m.png,1
Bill_Parcells_0002.png,Bill_Parcells_0002_m.png,1
Ruben_Studdard_0002.png,Ruben_Studdard_0002_m.png,1
Hal_Sellers_0001.png,Hal_Sellers_0001_m.png,1
Richard_Gephardt_0007.png,Richard_Gephardt_0007_m.png,1
Francis_George_0001.png,Francis_George_0001_m.png,1
Gonzalo_Sanchez_de_Lozada_0001.png,Gonzalo_Sanchez_de_Lozada_0001_m.png,1
George_W_Bush_0172.png,George_W_Bush_0172_m.png,1
Martha_Smith_0001.png,Martha_Smith_0001_m.png,1
Cesar_Gaviria_0005.png,Cesar_Gaviria_0005_m.png,1
George_HW_Bush_0005.png,George_HW_Bush_0005_m.png,1
Bill_Clinton_0001.png,Bill_Clinton_0001_m.png,1
Daryl_Smith_0001.png,Daryl_Smith_0001_m.png,1
Alex_Wallau_0001.png,Alex_Wallau_0001_m.png,1
Linda_Amicangioli_0001.png,Linda_Amicangioli_0001_m.png,1
Jack_Straw_0016.png,Jack_Straw_0016_m.png,1
Colin_Powell_0217.png,Colin_Powell_0217_m.png,1
Philippe_Gagnon_0001.png,Philippe_Gagnon_0001_m.png,1
Tony_Blair_0077.png,Tony_Blair_0077_m.png,1
George_W_Bush_0142.png,George_W_Bush_0142_m.png,1
Ricky_Cottrill_0001.png,Ricky_Cottrill_0001_m.png,1
Aileen_Riggin_Soule_0001.png,Aileen_Riggin_Soule_0001_m.png,1
